Symbol,beta,dy,pe,roe
ALC,0.5071056128687556,0.0031,24.486486,0.01721
CTOS,0.12238804765898822,nan,16.972973,0.04454
COST,0.6033611798948282,0.0081,32.113594,0.28428
CELZ,-0.0004382090967467135,,-1.440889,-0.77783996
BZH,0.22773625538588368,nan,4.93287,0.24475999
AKBA,0.0801247692482014,nan,-4.1295457,-2.15767
CHS,0.0936666188361525,nan,5.6629214,0.39128
AZZ,0.33945529815799386,0.0185,8.1843815,nan
BKD,0.12955038510131198,nan,-4.2058825,-0.37131
ATI,0.2121579430177903,nan,14.09489,0.14724
CHH,0.4106031055718255,0.0091,20.113564,1.57964
AMC,0.015727916036064986,nan,-20.370369,nan
BLBX,0.006245373854682658,nan,-37.625,-1.00447
CPRT,0.5568172524934258,nan,30.057034,0.23256999
ASIX,0.20129591787838377,0.0154,7.204589,0.25667
CMCSA,0.5395051133290379,0.028800001,10.090244,nan
ARAV,0.0930916221744835,nan,-1.1269841,-2.8866599
BAH,0.442427553223889,0.0196,19.574642,0.37752
BK,0.4849418129393051,0.0354,8.1746645,0.066810004
CELH,0.13023078442497088,nan,54.611427,-0.3463
AE,0.12087867832349256,0.026199998,14.653846,0.0275
AMGN,0.5138501383954507,0.0354,12.806624,nan
AZRE,0.06301027238010613,nan,2.2500002,-0.11784001
CAAS,0.01504590474368547,nan,7.703125,0.067210004
CCO,0.12067220981105065,nan,-7.470588,nan
CRBP,0.05182351903069156,nan,-0.16497557,-0.82953
AN,0.27203144784457967,nan,6.334776,0.59708
AMWD,0.2544667603455757,nan,9.152174,0.09799
ASR,0.32648367932853056,0.027999999,13.9193,nan
CCLP,0.06374314682847065,0.0339,-1.1919191,nan
BCTX,0.030277975019373005,nan,-5.276596,-3.09727
CACC,0.2435606440368743,nan,11.837969,0.31077
APTX,0.0463794742463664,nan,-0.27227274,-0.97486997
BAC,0.44443269901761534,0.0305,8.714286,0.10469
BYD,0.24490371126901336,0.0097,10.3736925,nan
ASML,0.3993034792769342,0.015800001,25.679838,0.74042
BPTH,0.03819570519336517,nan,-1.2155173,-0.69986
CRDF,0.06723058260320443,nan,-1.2428572,-0.31370002
CTLT,0.27113231856230685,nan,16.596025,0.087299995
AXLA,0.027480849357999215,nan,-0.24968944,-6.20403
AME,0.6486950012917843,0.0075,21.4177,0.16163
CCLD,0.1151582991413928,nan,-8.384616,0.054419998
BRBR,0.22490558988635395,nan,24.82069,nan
CDE,0.12588720612442356,nan,42.500004,-0.09247
CVS,0.49338698389743174,0.0335,8.073789,0.05678
CUE,0.11722564725321975,nan,-2.945578,-0.80824
AJG,0.6258690105994603,0.0107,21.016163,0.12574
ARCE,0.15353152816795293,nan,14.931506,0.02093
AAPL,0.5606103880766893,0.0055,25.748102,1.47943
CVX,0.37217631733707807,0.036199998,11.436907,0.23724002
ADMP,0.03398635600880569,nan,-1.0375,-2.07668
BGCP,0.2568915781943728,0.0091,4.3980584,0.08229
CNC,0.34722892205292516,nan,10.107038,nan
APLT,0.0845690760939247,nan,-1.25,-2.47772
ALEC,0.1246192180101365,nan,-2.7499998,-0.51754004
AMOT,0.26905543197043186,0.003,13.137404,0.08625
AIV,0.051927512502326634,nan,30.115385,0.13277
CVM,0.04543940922795589,nan,-4.395833,-0.94613
BRP,0.22011220519363436,nan,15.1747,-0.06595
APRE,0.0004217028509275582,nan,-1.1526163,-2.9468899
ATNI,0.13120247391036138,0.0217,75.354164,-0.00982
ASYS,0.16418223736693088,nan,13.484376,0.15093
BDX,0.4695642402939485,0.0139999995,19.42028,0.06351
BKE,0.2369169531160862,0.0416,7.5348315,0.73886
BFS,0.34792651752576437,0.0671,11.086153,0.124280006
ASTC,0.014686275774111983,nan,-15.294117,-0.17066999
BFIN,0.27874038050189737,0.0478,7.4549546,0.06789
CAL,0.1171589894413822,0.0128999995,4.96732,0.47951
CHPT,0.0975841786910346,nan,-57.8,-0.76519996
ASLE,0.10862139806680346,nan,12.257575,0.102740005
BGSF,0.17909081859614018,0.0627,6.5958905,0.12701
CPF,0.3110931155363036,0.0684,7.784314,nan
BEEM,0.07925966109941025,nan,-42.476192,-0.80031997
